id,name,screen_name,created_at,id_tweet,id_tweet_origin,text_complete,hashtags,symbols,has_media,has_users_mention,has_urls_mention,source,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive
2,Chip and Company,chipandcompany,2019-11-04 13:38:14,1191348933928398848,--,adidas x Star Wars Collaboration is coming! #starwars #disney #adidas #lightsaver #riseofskywalker ,"starwars,disney,adidas,lightsaver,riseofskywalker",--,0,0,1,IFTTT,--,--,--,--,0,0,0,0,0,0
4,SSBA,sk8shoesba,2019-11-04 13:37:26,1191348732241072128,--,Adidas Skateboarding 3ST.004 #adidasskateboarding #adidasskate #awaydays #adidas3st004 #adidas3st004 #  ,"adidasskateboarding,adidasskate,awaydays,adidas3st004,adidas3st004",--,0,0,1,IFTTT,--,--,--,--,0,0,0,0,0,0
10,Sergio,SergioCalle_,2019-11-04 13:35:04,1191348137165754370,--,"#Sudadera Core18 Hoody Sweatshirt, Hombre, Azul (Azul/Blanco), XL de #adidas ","Sudadera,adidas",--,0,1,1,Hootsuite Inc.,--,--,--,--,0,0,0,0,0,0
19,💯% “ᗩᗪIᗪᗩᔕ ᖴETIᔕᕼ”,AdidasFetish,2019-11-04 13:28:28,1191346473436418049,1191297165433421826," A pair that has eluded me for so long, and finally today is the day!! Buzzing and 8 days off after today s late shift! Happ ",--,--,0,1,0,Twitter for iPhone,--,--,--,--,0,1,0,0,0,0
29,a knife in Afrikaans.,ZanovuyoDingaan,2019-11-04 13:21:46,1191344788068589568,1191335044893335552, Adidas Samba Inspired by Freddie Mercury #adidasoriginals #adidas  Styling:  Photography :  Edits:  ,"adidasoriginals,adidas",--,0,1,0,Twitter for Android,--,--,--,--,0,7,0,0,0,0
37,Adiel,Adiel0821,2019-11-04 13:17:33,1191343726712573958,1191339313931243520," Buy More Save More on #adidas US. $20 off $100, $50 off $175, $100 off $300. Use code BMSM19 in cart. SHOP  ",adidas,--,0,1,0,Twitter for iPhone,--,--,--,--,0,3,0,0,0,0
40,yhu,phiwotjie,2019-11-04 13:15:53,1191343310532726786,1191335044893335552, Adidas Samba Inspired by Freddie Mercury #adidasoriginals #adidas  Styling:  Photography :  Edits:  ,"adidasoriginals,adidas",--,0,1,0,Twitter for Android,--,--,--,--,0,7,0,0,0,0
41,SNEAKERSTOWN,sneakerstown,2019-11-04 13:15:17,1191343155662196736,--," ADIDAS POD-S3.1 

Code #POD Live - The ultimate shop for #sneakers  ","POD,sneakers",--,0,1,1,Hootsuite Inc.,--,--,--,--,0,0,0,0,0,0
43,El_santimario,El_santimario,2019-11-04 13:14:34,1191342976145903616,--,AUTUMN #adidas #yung1 #adidasyung1 #sizebirmingham #adidasxsizeofficial #jkdn #sneakerfreaker #sneakerfreakermag ,"adidas,yung1,adidasyung1,sizebirmingham,adidasxsizeofficial,jkdn,sneakerfreaker,sneakerfreakermag",--,0,0,1,IFTTT,--,--,--,--,0,0,0,0,0,0
47,ᵉˡⁱᵒʳᵃ,liinda_m_,2019-11-04 13:12:14,1191342389979492352,1191335044893335552, Adidas Samba Inspired by Freddie Mercury #adidasoriginals #adidas  Styling:  Photography :  Edits:  ,"adidasoriginals,adidas",--,0,1,0,Twitter for Android,--,--,--,--,0,7,0,0,0,0
