username,screenname,created_at,tweet_text,sentiment
Chip and Company,chipandcompany,2019-11-04 13:38:14,adidas x Star Wars Collaboration is coming! #starwars #disney #adidas #lightsaver #riseofskywalker ,Negatif
SSBA,sk8shoesba,2019-11-04 13:37:26,Adidas Skateboarding 3ST.004 #adidasskateboarding #adidasskate #awaydays #adidas3st004 #adidas3st004 #  ,Neutral
Sergio,SergioCalle_,2019-11-04 13:35:04,"#Sudadera Core18 Hoody Sweatshirt, Hombre, Azul (Azul/Blanco), XL de #adidas ",Neutral
💯% “ᗩᗪIᗪᗩᔕ ᖴETIᔕᕼ”,AdidasFetish,2019-11-04 13:28:28," A pair that has eluded me for so long, and finally today is the day!! Buzzing and 8 days off after today s late shift! Happ ",Neutral
a knife in Afrikaans.,ZanovuyoDingaan,2019-11-04 13:21:46, Adidas Samba Inspired by Freddie Mercury #adidasoriginals #adidas  Styling:  Photography :  Edits:  ,Positif
Adiel,Adiel0821,2019-11-04 13:17:33," Buy More Save More on #adidas US. $20 off $100, $50 off $175, $100 off $300. Use code BMSM19 in cart. SHOP  ",Positif
yhu,phiwotjie,2019-11-04 13:15:53, Adidas Samba Inspired by Freddie Mercury #adidasoriginals #adidas  Styling:  Photography :  Edits:  ,Positif
SNEAKERSTOWN,sneakerstown,2019-11-04 13:15:17," ADIDAS POD-S3.1 

Code #POD Live - The ultimate shop for #sneakers  ",Neutral
El_santimario,El_santimario,2019-11-04 13:14:34,AUTUMN #adidas #yung1 #adidasyung1 #sizebirmingham #adidasxsizeofficial #jkdn #sneakerfreaker #sneakerfreakermag ,Neutral
ᵉˡⁱᵒʳᵃ,liinda_m_,2019-11-04 13:12:14, Adidas Samba Inspired by Freddie Mercury #adidasoriginals #adidas  Styling:  Photography :  Edits:  ,Positif
gixr,edwin43221534,2019-11-04 13:11:53," Buy More Save More on #adidas US. $20 off $100, $50 off $175, $100 off $300. Use code BMSM19 in cart. SHOP  ",Positif
Cebo🌵,Cebooh_nom,2019-11-04 13:11:45, Adidas Samba Inspired by Freddie Mercury #adidasoriginals #adidas  Styling:  Photography :  Edits:  ,Positif
Debbie Woodruff,CoachDebbieRuns,2019-11-04 13:11:01,"#ad Holiday shopping can be exhausting and stressful. Here are some tips to help you stay comfy, fashionable, and s ",Negatif
Jennifer chouinard,fafajc,2019-11-04 13:10:01,So good I had to share! Check out all the items I'm loving on from #poshmark #fashion ,Positif
Kay Pratt,Kaylifa,2019-11-04 13:09:30,So good I had to share! Check out all the items I'm loving on #poshmark #fashion #style #shopmycloset ,Positif
Jeana Pearce,pearce_jeana,2019-11-04 13:09:15,So good I had to share! Check out all the items I'm loving on #poshmark #fashion #style #shopmycloset ,Positif
Kim Thea,KimThea88931556,2019-11-04 13:08:52,So good I had to share! Check out all the items I'm loving on from #poshmark #fashion ,Positif
INAS,nosahanna1,2019-11-04 13:08:45,So good I had to share! Check out all the items I'm loving on from #poshmark ,Positif
Noah Zoldan,NoahZoldan,2019-11-04 13:08:04," Buy More Save More on #adidas US. $20 off $100, $50 off $175, $100 off $300. Use code BMSM19 in cart. SHOP  ",Positif
Alex David Moreira,admoreirap,2019-11-04 13:04:28, Drum Lasers. #Repost  #VF15 #vicfirth #meinl #meinlcymbals #remo #teamremo #dwdrums #roland #adidas #ad ,Neutral
