id,name,screen_name,created_at,id_tweet,id_tweet_origin,text_complete,hashtags,symbols,has_media,has_users_mention,has_urls_mention,source,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive
404,flaco flame,pedronvramirez,2019-11-12 07:33:38,1194156280623091714,1194110067588681741, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Nike,--,0,1,0,Twitter for iPhone,--,--,--,--,0,28,0,0,0,0
405,Ch7ng_BI7Kon 🎈,_ch7ng_,2019-11-12 07:33:00,1194156122531217408,--,park shin-hye is wearing gdragon s shoes #peaceminusone #nike #gdragon #bigbang ,"PEACEMINUSONE,Nike,GDRAGON,BIGBANG",--,1,0,0,Twitter for iPhone,--,--,--,--,0,0,0,0,0,0
407,StockX Live Feed,StockXLive,2019-11-12 07:32:47,1194156067023982592,--,lowest ask: $530 nike ld waffle sacai black sz. 6.5 #nike ,nike,--,1,0,1,StockX Market,--,--,--,--,0,0,0,0,0,0
408,Jamaal Al-Din,NIKEChiliNYKNBA,2019-11-12 07:32:02,1194155877088935937,--,227's youtube chili' #nike'spicy' #nba mix! #knicks    ,"NIKE,NBA,Knicks",--,0,0,1,Twitter Web App,--,--,--,--,0,0,0,0,0,0
409,StockX Live Feed,StockXLive,2019-11-12 07:31:00,1194155618170482688,--,lowest ask: $180 nike cortez basic slip kendrick lamar white sz. 9.5 #nike ,nike,--,1,0,1,StockX Market,--,--,--,--,0,0,0,0,0,0
410,Brina,brina_uk,2019-11-12 07:30:55,1194155598713016320,--,"3.8mile 615am training run with pikey, great route with the uphill wakeup burn - nike+ #3in3 #justdoitbrina ","3In3,justdoitbrina",--,0,0,1,Instagram,--,--,--,--,0,0,0,0,0,0
414,M..,jiyongthicc,2019-11-12 07:29:14,1194155173742096394,1194073147449982976," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ","ONE_OF_A_KIND_GD,NIKE,PEACEMINUSONE,GDRAGON",--,1,1,0,Twitter for Android,--,--,--,--,0,36,0,0,0,0
416,TEMPO,TEMPO_JAPAN,2019-11-12 07:28:50,1194155071669493760,--, new arrival nike / jordan 6 retro(td) black/infrared us9c(15cm)  ------------------------------------------ ,--,--,0,0,1,Instagram,--,--,--,--,0,0,0,0,0,0
421,Hot Deals this Year,HotDealsthisyea,2019-11-12 07:26:20,1194154445258608642,1194101599913811969, made the air max 90 and air force 1 on nike by you. i really dig them. the 1500s are amazing though. i did ,--,--,0,1,0,nsuheirs,--,--,--,--,0,1,0,0,0,0
423,Play Golf,playmygolf,2019-11-12 07:24:34,1194153997638127616,--,golf - nike tour legacy mesh golf cap wolf grey aw15: current prince purchase details nike tour legacy mesh golf c  ,--,--,0,0,1,dlvr.it,--,--,--,--,0,0,0,0,0,0
