username,screenname,created_at,tweet_text,sentiment
flaco flame,pedronvramirez,2019-11-12 07:33:38, take a look at the #nike air zoom pulse designed for medical workers. the slip on shoe is easy to clean and also comes with ,Positif
Ch7ng_BI7Kon 🎈,_ch7ng_,2019-11-12 07:33:00,park shin-hye is wearing gdragon s shoes #peaceminusone #nike #gdragon #bigbang ,Neutral
StockX Live Feed,StockXLive,2019-11-12 07:32:47,lowest ask: $530 nike ld waffle sacai black sz. 6.5 #nike ,Negatif
Jamaal Al-Din,NIKEChiliNYKNBA,2019-11-12 07:32:02,227's youtube chili' #nike'spicy' #nba mix! #knicks    ,Neutral
StockX Live Feed,StockXLive,2019-11-12 07:31:00,lowest ask: $180 nike cortez basic slip kendrick lamar white sz. 9.5 #nike ,Negatif
Brina,brina_uk,2019-11-12 07:30:55,"3.8mile 615am training run with pikey, great route with the uphill wakeup burn - nike+ #3in3 #justdoitbrina ",Positif
M..,jiyongthicc,2019-11-12 07:29:14," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
TEMPO,TEMPO_JAPAN,2019-11-12 07:28:50, new arrival nike / jordan 6 retro(td) black/infrared us9c(15cm)  ------------------------------------------ ,Neutral
Hot Deals this Year,HotDealsthisyea,2019-11-12 07:26:20, made the air max 90 and air force 1 on nike by you. i really dig them. the 1500s are amazing though. i did ,Positif
Play Golf,playmygolf,2019-11-12 07:24:34,golf - nike tour legacy mesh golf cap wolf grey aw15: current prince purchase details nike tour legacy mesh golf c  ,Positif
Vip👑💎❤🎵🎶,Welcipoe,2019-11-12 07:24:06," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
GodGoodLand,LovenPeace000,2019-11-12 07:21:01," ""the most attractive shoe design of the moment"" #one_of_a_kind_gd #nike #peaceminusone #gdragon ",Positif
DimiChard,Dimichard_,2019-11-12 07:20:09,new season calls for new gear! #nike ,Neutral
 Kirankumar ,Kirankumar_P,2019-11-12 07:19:40,ran 4.05 kilometers with nike run club #nike #asics #nikerunning #asicsgt20006   ,Neutral
Jamaal Al-Din,NIKEChiliHouNBA,2019-11-12 07:19:22,227's youtube chili' #nike'spicy' #nba mix! #rockets    ,Neutral
