username,screenname,created_at,tweet_text,sentiment
Jason Jacobs,JasonTweakdOut,2019-11-12 07:36:17,thank you pumasouthafrica #puma for the likes the editions are  ,Positif
Collectibles🇳🇬,CollectiblesNG,2019-11-12 07:32:06,italy renaissance kit is now available for purchase. 10000 for the jersey 700 for customizing 2000 for ,Neutral
shelbern,BilalHa17316689,2019-11-12 07:14:25, #selenagomez ( ) fronts #puma's cali sport campaign. ,Neutral
VintageShopCreations,vintageshopcrtn,2019-11-12 06:53:29," #sweden #kosta #orrefors #art #glass #figurine #animal #puma #cheetah #wwf big #paperweight | ebay #orrefor 
 ",Neutral
Cynthia L. Mason,CynthiaLMason,2019-11-12 06:41:41, #puma #id79351 #manhattanacc #male #2yearsold #neutered puma needs #pledges and #donations so that a #newhopepartner # ,Neutral
AnimalLover,animallifepics,2019-11-12 06:34:20,cougar (puma). good morning world. happy tuesday!  #cougar #puma #pumas #cougarnation #wildlifephotography ,Positif
TITOLO,titoloshop,2019-11-12 06:30:14,pricedrops many reduced sneakers and clothes shop now  #nike #adidas #puma #jordan ,Neutral
mywallz,mywallznetwork,2019-11-12 06:29:04,get minimum 70% off on #puma #ajio ,Neutral
1xmalaysiasports,1xmalaysiasport,2019-11-12 06:25:48," shirt alert: the new italy away shirt has been unveiled by #puma 

what do you think? ",Positif
Jose Perez,ayGregory13,2019-11-12 06:05:41," la recap a bunch of dope folk &amp; good meetings the best part about it was having my mom with me the whole time  
 ",Positif
TITOLO,titoloshop,2019-11-12 06:00:11,pricedrops many reduced sneakers and clothes reduced take a look  #nike #adidas #puma ,Neutral
SPUDAVELL,Rockstarrspudd,2019-11-12 05:34:16," la recap a bunch of dope folk &amp; good meetings the best part about it was having my mom with me the whole time  
 ",Positif
TITOLO,titoloshop,2019-11-12 05:30:05,pricedrops many reduced sneakers and clothes reduced check it out #nike #adidas #puma ,Neutral
Bread Tha Rebel,BreadThaRebel,2019-11-12 05:27:24," la recap a bunch of dope folk &amp; good meetings the best part about it was having my mom with me the whole time  
 ",Positif
Play Golf,playmygolf,2019-11-12 05:18:33,golf - puma warm golf trousers black aw15: current prince purchase details puma warm golf trousers black aw15.perf  ,Positif
