id,name,screen_name,created_at,id_tweet,id_tweet_origin,text_complete,hashtags,symbols,has_media,has_users_mention,has_urls_mention,source,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive
1202,Varsha,varsha_biswal,2019-11-12 07:36:07,1194156904458547200,--,#reebok story post by both of them ,Reebok,--,1,1,0,Twitter for Android,--,--,--,--,0,0,0,0,0,0
1203,TITOLO,titoloshop,2019-11-12 06:30:14,1194140326065319937,--,pricedrops many reduced sneakers and clothes shop now  #nike #adidas #puma #jordan ,"nike,adidas,puma,jordan",--,0,0,1,Buffer,--,--,--,--,0,0,0,0,0,0
1204,TITOLO,titoloshop,2019-11-12 06:00:11,1194132765043838976,--,pricedrops many reduced sneakers and clothes reduced take a look  #nike #adidas #puma ,"nike,adidas,puma",--,0,0,1,Buffer,--,--,--,--,0,0,0,0,0,0
1206,TITOLO,titoloshop,2019-11-12 05:30:05,1194125187547045893,--,pricedrops many reduced sneakers and clothes reduced check it out #nike #adidas #puma ,"nike,adidas,puma",--,0,0,1,Buffer,--,--,--,--,0,0,0,0,0,0
1209,Esquire*Attire,esquireattire,2019-11-12 03:46:42,1194099169960570880,--,sale $18.35 #reebok men sport #shorts size xl blue ventilation ,"Reebok,shorts",--,1,0,1,AMT_To_Twitt_Listings,--,--,--,--,0,0,0,0,0,0
1211,Delicate Creations,DelicateCreatio,2019-11-12 02:05:11,1194073622928920576,--,check out chicago blackhawks 2010 stanley cup champions locker room hat one size #reebok via ,Reebok,--,0,1,1,Twitter Web Client,--,--,--,--,0,0,0,0,0,0
1212,Paul,LuvinlifeinTN,2019-11-12 01:34:42,1194065952205365248,--,check out seattle supersonics gary payton #20 reebok basketball jersey boy youth medium #reebok via ,Reebok,--,0,1,1,Twitter Web Client,--,--,--,--,0,0,0,0,0,0
1213,Tender Love Fashion,TenderLvFashion,2019-11-12 01:33:03,1194065535782309888,--,check out winnipeg jets dustin byfuglien #33 reebok nhl youth home jersey size l/xl #reebok via ,Reebok,--,0,1,1,Twitter Web Client,--,--,--,--,0,0,0,0,0,0
1215,Lil.,heylilhey,2019-11-12 00:54:33,1194055847388864512,--,c o m e b a c k #boxing #fitness #sports #missedyou #rival #rivalboxing #reebok #girlswhofight #fightclub ,"boxing,fitness,sports,missedyou,rival,rivalboxing,reebok,girlswhofight,fightclub",--,0,0,1,Instagram,--,--,--,--,0,0,1,0,0,0
1216,StockX Live Feed,StockXLive,2019-11-12 00:53:25,1194055562717286403,--,lowest ask: $366 reebok club c 85 jjjjound sz. 11 #reebok ,reebok,--,1,0,1,StockX Market,--,--,--,--,0,0,1,0,0,0
