username,screenname,created_at,tweet_text,sentiment
Varsha,varsha_biswal,2019-11-12 07:36:07,#reebok story post by both of them ,Neutral
TITOLO,titoloshop,2019-11-12 06:30:14,pricedrops many reduced sneakers and clothes shop now  #nike #adidas #puma #jordan ,Neutral
TITOLO,titoloshop,2019-11-12 06:00:11,pricedrops many reduced sneakers and clothes reduced take a look  #nike #adidas #puma ,Neutral
TITOLO,titoloshop,2019-11-12 05:30:05,pricedrops many reduced sneakers and clothes reduced check it out #nike #adidas #puma ,Neutral
Esquire*Attire,esquireattire,2019-11-12 03:46:42,sale $18.35 #reebok men sport #shorts size xl blue ventilation ,Neutral
Delicate Creations,DelicateCreatio,2019-11-12 02:05:11,check out chicago blackhawks 2010 stanley cup champions locker room hat one size #reebok via ,Positif
Paul,LuvinlifeinTN,2019-11-12 01:34:42,check out seattle supersonics gary payton #20 reebok basketball jersey boy youth medium #reebok via ,Neutral
Tender Love Fashion,TenderLvFashion,2019-11-12 01:33:03,check out winnipeg jets dustin byfuglien #33 reebok nhl youth home jersey size l/xl #reebok via ,Neutral
Lil.,heylilhey,2019-11-12 00:54:33,c o m e b a c k #boxing #fitness #sports #missedyou #rival #rivalboxing #reebok #girlswhofight #fightclub ,Neutral
StockX Live Feed,StockXLive,2019-11-12 00:53:25,lowest ask: $366 reebok club c 85 jjjjound sz. 11 #reebok ,Negatif
Patrick Vellner,PatVellner,2019-11-12 00:45:56,this is what a well executed plan looks like 2020 open  #darkness #justleaveme #ineedaholiday ,Positif
Thrift Shop Hustler,ThriftShopDude,2019-11-12 00:25:15,check out vtg lotto avanti basketball 80s high top sneakers shoes mens 7 w box hype beast #reebok via ,Positif
Thrift Shop Hustler,ThriftShopDude,2019-11-12 00:21:53,check out vtg reebok original 80s high top sneakers shoes mens 7 bb5000 w box hype beast #reebok via ,Positif
earl hendricks,DEADLIFTSNJ76,2019-11-11 23:40:14,triceps and shoulders #skullcrushers #arnoldpress #reebok #sharkcitybarbellva #gymlife ,Neutral
Mysteriously Unnamed,DeathByLnbkers,2019-11-11 23:17:08, it would be nice if we could get these custom made with the military information of our family member who ,Positif
JimPetty,JimPetty716,2019-11-11 23:03:04," i m in the supplemental draft. omw back to the 
 

6 2 215lbs nfl s former ",Neutral
BrandonLinden,mlungu_bae,2019-11-11 22:53:29, lifestyles different around here ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ #mlungu #bae #america #lifestyle #drip #swag  ,Neutral
Dreams Designer Outlet,Watch_The_Cloth,2019-11-11 22:38:22, check out philadelphia eagles jeff garcia #7 reebok nfl home jersey size xl nwot #reebok  via  ,Neutral
SASS Treasures,SassTreasures,2019-11-11 22:37:00,check out philadelphia eagles jeff garcia #7 reebok nfl home jersey size xl nwot #reebok vi ,Neutral
DirtyButWhole,_AtreyaBasu_,2019-11-11 22:05:41,there you go #reebok x #gigihadid x #icc ,Neutral
PapaBear,DKnightTP,2019-11-11 20:21:40, it would be nice if we could get these custom made with the military information of our family m ,Positif
Maryl Rolfes,MaryFRolfes,2019-11-11 20:15:26, all black drop top..rock u a ghost *jott* today #jottworld #tshirt #shopsmall #blackfriday #hatshop #neworleans #urbanwear #la ,Negatif
Football Shirts HFS,historicshirts,2019-11-11 19:55:25," limited edition boxed final winners 2005 shirt (l) 

  ",Positif
eBay Deals US,eBay_Deals_US,2019-11-11 19:44:17,us $29.99. #reebok men's flexagon force 2.0 extra-wide... buy it now: ,Neutral
jdsportsus,jdsportsus,2019-11-11 19:30:21,"train like a champ hit up to cop the x iii, available now: ",Positif
