id,name,screen_name,created_at,id_tweet,id_tweet_origin,text_complete,hashtags,symbols,has_media,has_users_mention,has_urls_mention,source,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive
1602,Anyaorah Ugochukwu,AnyaorahU,2019-11-12 07:10:39,1194150499441876992,--,"vans available full package size: 44 price: 20,000 dm to order #vans #vansoldskool #vansshoes #vansslipon ","vans,vansoldskool,vansshoes,vansslipon",--,0,0,1,Instagram,--,--,--,--,0,0,0,0,0,0
1603,Unique_Transporters,UTransporters,2019-11-12 07:09:04,1194150099091415041,--,"we have this superb value volkswagen transporter kombi (2011) van t5.1 aircon sportline style 140 lwb t32 for 16,7  ",--,--,0,0,1,Loomly,--,--,--,--,0,0,0,0,0,0
1606,Steven Cui,StevenCui9,2019-11-12 06:11:13,1194135541723230209,--,loading tires for customer. 195r15c 8pr #195r15c #195r15 #tire #tires #tyres #tyre #pneus #llantas #lastik #imp ,"195R15C,195R15,TIRE,TIRES,TYRES,TYRE,PNEUS,LLANTAS,LASTIK,IMP",--,0,0,1,Twitter Web App,--,--,--,--,0,0,1,0,0,0
1607,Mazi Olayinka Danladi,a_rasaq,2019-11-12 05:56:53,1194131932205985792,1194123555996233733," on the way to work, concentrate on the way - not the work (jim rohn) stay safe, drive safe!  #tyres #auto #safety #safer ","tyres,auto,safety",--,0,1,0,Twitter for Android,--,--,--,--,0,3,0,0,0,0
1608,StockX Live Feed,StockXLive,2019-11-12 05:37:31,1194127059108454405,--,lowest ask: $58 vans old skool black white sz. 11 #vans ,vans,--,1,0,1,StockX Market,--,--,--,--,0,0,0,0,0,0
1609,Ebhohimhen Samson E,essegis,2019-11-12 05:34:17,1194126246575259648,1194123555996233733," on the way to work, concentrate on the way - not the work (jim rohn) stay safe, drive safe!  #tyres #auto #safety #safer ","tyres,auto,safety",--,0,1,0,Twitter for Android,--,--,--,--,0,3,0,0,0,0
1610,Caleb Joshua #YourReliableCarPlug,SonJosh23,2019-11-12 05:34:05,1194126195673247744,1194123555996233733," on the way to work, concentrate on the way - not the work (jim rohn) stay safe, drive safe!  #tyres #auto #safety #safer ","tyres,auto,safety",--,0,1,0,Twitter for Android,--,--,--,--,0,3,0,0,0,0
1611,Tsumugi,tsumugi2012,2019-11-12 05:32:06,1194125696366338053,--,new deck #shirl #instant  #tetsuyayasuta #thenorthface #levis #vans ,"shirl,instant吉祥寺,tetsuyayasuta,thenorthface,levis,vans",--,1,0,0,Twitter for iPhone,--,--,--,--,0,0,7,0,0,0
1613,ELITE TYRES NIGERIA LIMITED.,elite_wheel,2019-11-12 05:23:36,1194123555996233733,--,"on the way to work, concentrate on the way - not the work (jim rohn) stay safe, drive safe!  #tyres #auto #safety ","tyres,auto,safety",--,0,0,1,Twitter for Android,--,--,--,--,0,3,5,0,0,0
1615,Mur43454,mur43454,2019-11-12 04:26:33,1194109198608601088,--, another multinational company kneels to #ccp after #blizzard and #vans,"CCP,Blizzard,vans",--,0,1,0,Twitter for Android,1194040341357137920,267695291,badiucao,--,0,0,0,0,0,0
1616,۞,usual_shit,2019-11-12 04:12:00,1194105537211912194,1171882272376721409, first look at the #nightmarebeforechristmasvans #vansxnightmarebeforechristmas #vans #nightmarebeforechristmas  ,"nightmarebeforechristmasVans,vansxnightmarebeforechristmas,Vans,Nightmarebeforechristmas",--,0,1,0,Twitter for Android,--,--,--,--,0,1,0,0,0,0
1621,StockX Live Feed,StockXLive,2019-11-12 03:42:14,1194098047191568385,--,lowest ask: $150 vans old skool nasa space voyager firecracker sz. 10 #vans ,vans,--,1,0,1,StockX Market,--,--,--,--,0,0,1,0,0,0
1624,Alfredito,alfreditohv,2019-11-12 03:31:48,1194095421909610497,--,friends #day #followforfollowback #love #vans #picoftheday #friends #monday #cubanosporelmundo #cubanosconflow ,"day,followforfollowback,love,vans,picoftheday,friends,monday,cubanosporelmundo,cubanosconflow",--,0,0,1,Instagram,--,--,--,--,0,0,0,0,0,0
1625,gudang sepatu bdg,fahrul1012,2019-11-12 03:17:23,1194091794918715394,--,"converse low black/grey 110.k invite 313f90bd ,open order macam2 #sepatu #nike #adidas #boots #handmade #vans ","sepatu,nike,adidas,boots,handmade,vans",--,0,0,1,twittbot.net,--,--,--,--,0,0,0,0,0,0
1626,https://ubaleskateboardcompany.com,ubaleskate,2019-11-12 03:17:17,1194091770927308802,--,"tag #ubaletv and we'll retweet you! vans off the dock? 
  

  

  

 ",UbaleTV,--,0,1,1,Ubale Skateboard Co,--,--,--,--,0,1,0,0,0,0
1627,TinyHomesRule(ofLaw),TinyHomesRule,2019-11-12 02:57:49,1194086869425897472,--,tiny on the road; places to stay: #diy #minimalism #frugal #vans #campervans #vanlife ,"DIY,minimalism,frugal,vans,campervans,vanlife",--,0,0,1,Twitter Web Client,--,--,--,--,0,0,0,0,0,0
1628,nature and wildlife,wildlife__pics,2019-11-12 02:47:44,1194084330571743234,1194076656455041027," vans off the dock? 
 

 

 

 

#vans #dock #life #photography #friends #family #military #sneakers #edit #nature #pe ","vans,dock,life,photography,friends,family,military,sneakers,edit,nature",--,0,1,0,nature_and_wildlifeapp,--,--,--,--,0,1,0,0,0,0
1629,gudang sepatu bdg,fahrul1012,2019-11-12 02:47:12,1194084196647669762,--,converse low black/grey 110.k invite 313f90bd open order macam2 #sepatu #nike #adidas #boots #handmade #vans  ,"sepatu,nike,adidas,boots,handmade,vans",--,0,0,1,twittbot.net,--,--,--,--,0,0,0,0,0,0
1631,Singapore Sling,singaporslinger,2019-11-12 02:38:23,1194081978842148864,1194079400259719169, only on florida #walmart #leopard #van #mtdora #mountdora #florida #leopardprint #cheetah #cheetahprint #vanlife #weir ,"walmart,leopard,van,mtdora,mountdora,florida,leopardprint,cheetah,cheetahprint,vanlife",--,0,1,0,slin9er,--,--,--,--,0,1,0,0,0,0
1632,Amanda Bliss Knost,1polypureheart,2019-11-12 02:28:08,1194079400259719169,--,only on florida #walmart #leopard #van #mtdora #mountdora #florida #leopardprint #cheetah #cheetahprint #vanlife ,"walmart,leopard,van,mtdora,mountdora,florida,leopardprint,cheetah,cheetahprint,vanlife",--,0,0,1,Twitter Web App,--,--,--,--,0,1,2,0,0,0
1634,stephen williams,WilliamsFit_,2019-11-12 02:17:14,1194076656455041027,--,vans off the dock? #vans #dock #life #photography #friends #family #military #sneakers #edit ,"vans,dock,life,photography,friends,family,military,sneakers,edit",--,0,0,1,Instagram,--,--,--,--,0,1,0,0,0,0
1636,Emily,_EmilyBot,2019-11-12 01:40:48,1194067486221713410,1194067414998290433, lowest ask: $248 vans old skool nasa space voyager true white sz. 6 #vans ,vans,--,1,1,1,RetweetingBot,--,--,--,--,0,1,0,0,0,0
1637,StockX Live Feed,StockXLive,2019-11-12 01:40:31,1194067414998290433,--,lowest ask: $248 vans old skool nasa space voyager true white sz. 6 #vans ,vans,--,1,0,1,StockX Market,--,--,--,--,0,1,1,0,0,0
1641,BABEST,BABEST6,2019-11-12 00:56:02,1194056220639776768,1191395719522832384, vans classic slip-on (peanuts) pink #    size : 36-44 price : 1200    free ems+box  made in vietnam **    o ,พร้อมส่ง,--,0,1,0,Twitter for Android,--,--,--,--,0,0,0,0,0,0
1642,Get Connected,getconnectedone,2019-11-12 00:25:22,1194048504651485185,--,#exclusive okay it s no secret. you came here for the extra crispy sneakers and we dig that. just don t sleep on th ,Exclusive,--,0,0,1,Instagram,--,--,--,--,0,0,1,0,0,0
1643,LONEHYPE,LONEHYPE1,2019-11-12 00:14:59,1194045891260362757,--,about the vans standard snow boots (on feet) via  #youtube #instagram ,"YouTube,instagram",--,0,1,1,Twitter for iPhone,--,--,--,--,0,0,2,0,0,0
