username,screenname,created_at,tweet_text,sentiment
Anyaorah Ugochukwu,AnyaorahU,2019-11-12 07:10:39,"vans available full package size: 44 price: 20,000 dm to order #vans #vansoldskool #vansshoes #vansslipon ",Neutral
Unique_Transporters,UTransporters,2019-11-12 07:09:04,"we have this superb value volkswagen transporter kombi (2011) van t5.1 aircon sportline style 140 lwb t32 for 16,7  ",Positif
Steven Cui,StevenCui9,2019-11-12 06:11:13,loading tires for customer. 195r15c 8pr #195r15c #195r15 #tire #tires #tyres #tyre #pneus #llantas #lastik #imp ,Neutral
Mazi Olayinka Danladi,a_rasaq,2019-11-12 05:56:53," on the way to work, concentrate on the way - not the work (jim rohn) stay safe, drive safe!  #tyres #auto #safety #safer ",Positif
StockX Live Feed,StockXLive,2019-11-12 05:37:31,lowest ask: $58 vans old skool black white sz. 11 #vans ,Negatif
Ebhohimhen Samson E,essegis,2019-11-12 05:34:17," on the way to work, concentrate on the way - not the work (jim rohn) stay safe, drive safe!  #tyres #auto #safety #safer ",Positif
Caleb Joshua #YourReliableCarPlug,SonJosh23,2019-11-12 05:34:05," on the way to work, concentrate on the way - not the work (jim rohn) stay safe, drive safe!  #tyres #auto #safety #safer ",Positif
Tsumugi,tsumugi2012,2019-11-12 05:32:06,new deck #shirl #instant  #tetsuyayasuta #thenorthface #levis #vans ,Neutral
ELITE TYRES NIGERIA LIMITED.,elite_wheel,2019-11-12 05:23:36,"on the way to work, concentrate on the way - not the work (jim rohn) stay safe, drive safe!  #tyres #auto #safety ",Positif
Mur43454,mur43454,2019-11-12 04:26:33, another multinational company kneels to #ccp after #blizzard and #vans,Neutral
۞,usual_shit,2019-11-12 04:12:00, first look at the #nightmarebeforechristmasvans #vansxnightmarebeforechristmas #vans #nightmarebeforechristmas  ,Neutral
StockX Live Feed,StockXLive,2019-11-12 03:42:14,lowest ask: $150 vans old skool nasa space voyager firecracker sz. 10 #vans ,Negatif
Alfredito,alfreditohv,2019-11-12 03:31:48,friends #day #followforfollowback #love #vans #picoftheday #friends #monday #cubanosporelmundo #cubanosconflow ,Positif
gudang sepatu bdg,fahrul1012,2019-11-12 03:17:23,"converse low black/grey 110.k invite 313f90bd ,open order macam2 #sepatu #nike #adidas #boots #handmade #vans ",Negatif
